iter	RMSE
0	14.43295001
1	13.74588126
2	13.06705243
3	12.3315025
4	11.74296215
5	11.16870114
6	10.58166659
7	10.00792324
8	9.524408353
9	9.101116013
10	8.742831694
11	8.412278578
12	8.1060289
13	7.820934825
14	7.542392773
15	7.288768534
16	7.101075294
17	6.871849555
18	6.684107755
19	6.510926151
20	6.353516238
21	6.220799021
22	6.102796161
23	5.991745206
24	5.880127957
25	5.792456345
26	5.716071821
27	5.631437186
28	5.544661973
29	5.454345941
30	5.382396095
31	5.320379735
32	5.266973581
33	5.196990985
34	5.132179299
35	5.083356893
36	5.010245662
37	4.970769504
38	4.914628615
39	4.864310381
40	4.817569345
41	4.771097199
42	4.753491655
43	4.702442666
44	4.696636975
45	4.647374906
46	4.600953767
47	4.567273178
48	4.549514283
49	4.524762208
50	4.486359355
51	4.448772355
52	4.405882999
53	4.399686886
54	4.383162504
55	4.352390012
56	4.322754933
57	4.295896791
58	4.26924679
59	4.233169561
60	4.207470039
61	4.174003189
62	4.152234807
63	4.121474462
64	4.107908996
65	4.070363904
66	4.054209437
67	4.050154602
68	4.025441002
69	3.999436811
70	3.979374655
71	3.947865462
72	3.925199981
73	3.900958932
74	3.88150687
75	3.864405244
76	3.847755644
77	3.818373344
78	3.804941416
79	3.786907409
80	3.761191723
81	3.743770299
82	3.725168817
83	3.703650951
84	3.679357115
85	3.66322685
86	3.649273629
87	3.634305518
88	3.596094151
89	3.576071261
90	3.552122872
91	3.533652652
92	3.519370207
93	3.51083201
94	3.494264448
95	3.478249838
96	3.462854519
97	3.451873568
98	3.441768304
