iter	Passed	Remaining
0	0	79
1	5	267
2	8	267
3	9	216
4	11	222
5	14	229
6	16	216
7	16	194
8	17	179
9	19	171
10	20	165
11	23	170
12	23	158
13	26	160
14	28	162
15	31	166
16	34	169
17	35	160
18	37	159
19	38	155
20	41	156
21	44	156
22	47	158
23	48	152
24	50	152
25	53	152
26	53	145
27	56	145
28	59	145
29	62	145
30	65	146
31	66	141
32	69	140
33	71	139
34	74	137
35	75	133
36	77	132
37	80	131
38	82	129
39	85	127
40	87	125
41	89	123
42	90	119
43	92	117
44	92	113
45	95	111
46	97	109
47	99	108
48	100	104
49	101	101
50	104	100
51	107	98
52	109	97
53	109	93
54	110	90
55	113	88
56	115	87
57	118	85
58	121	84
59	123	82
60	126	81
61	129	79
62	132	77
63	134	75
64	136	73
65	139	71
66	141	69
67	142	66
68	145	65
69	147	63
70	150	61
71	153	59
72	157	58
73	160	56
74	163	54
75	166	52
76	169	50
77	171	48
78	174	46
79	177	44
80	179	42
81	182	40
82	185	37
83	187	35
84	191	33
85	194	31
86	197	29
87	199	27
88	202	24
89	205	22
90	208	20
91	211	18
92	214	16
93	217	13
94	219	11
95	223	9
96	225	6
97	228	4
98	231	2
