iter	Passed	Remaining
0	0	866
1	1	802
2	2	732
3	2	682
4	3	680
5	4	679
6	4	663
7	5	645
8	5	650
9	6	638
10	7	649
11	7	654
12	8	657
13	9	657
14	9	655
15	10	664
16	11	659
17	12	663
18	12	662
19	14	688
20	14	694
21	15	701
22	16	700
23	17	700
24	18	702
25	18	704
26	19	704
27	20	702
28	21	706
29	22	712
30	22	712
31	23	712
32	24	714
33	25	713
34	25	712
35	26	713
36	27	712
37	28	715
38	29	715
39	29	718
40	30	718
41	31	717
42	32	715
43	32	715
44	33	714
45	34	712
46	35	711
47	35	710
48	36	709
49	37	705
50	37	702
51	38	703
52	39	701
53	40	701
54	40	702
55	41	701
56	42	700
57	42	696
58	43	695
59	44	695
60	45	693
61	45	691
62	46	689
63	47	689
64	47	688
65	48	686
66	49	685
67	50	686
68	50	684
69	51	683
70	52	680
71	52	680
72	53	679
73	54	679
74	55	679
75	55	679
76	56	679
77	57	677
78	58	676
79	58	674
80	59	674
81	60	673
82	60	668
83	61	668
84	62	667
85	62	666
86	63	665
87	64	665
88	64	664
89	65	664
90	66	663
91	67	661
92	67	661
93	68	660
94	69	660
95	70	659
96	70	657
97	71	656
98	72	655
99	72	655
100	73	655
101	74	657
102	75	656
103	76	656
104	76	655
105	77	654
106	78	653
107	78	651
108	79	650
109	80	648
110	80	648
111	81	648
112	82	647
113	83	648
114	84	648
115	85	648
116	85	646
117	86	646
118	87	645
119	87	644
120	88	643
121	89	641
122	89	640
123	90	640
124	91	639
125	92	639
126	92	638
127	93	637
128	94	638
129	95	638
130	96	637
131	96	637
132	97	638
133	98	638
134	99	638
135	100	638
136	101	637
137	101	636
138	102	636
139	103	635
140	104	635
141	104	633
142	105	633
143	106	632
144	107	631
145	107	630
146	108	629
147	109	628
148	110	628
149	110	628
150	111	627
151	112	626
152	113	626
153	113	626
154	114	625
155	115	625
156	116	624
157	117	624
158	117	623
159	118	622
160	119	620
161	119	619
162	120	618
163	121	617
164	121	616
165	122	615
166	123	614
167	123	613
168	124	613
169	125	612
170	126	611
171	126	610
172	127	609
173	128	610
174	129	609
175	130	608
176	130	607
177	131	606
178	132	606
179	132	604
180	133	603
181	134	602
182	134	601
183	135	601
184	136	599
185	136	599
186	137	598
187	138	597
188	139	596
189	139	595
190	140	594
191	141	593
192	141	593
193	142	592
194	143	591
195	144	590
196	144	589
197	145	588
198	146	588
199	146	587
200	147	586
201	148	585
202	148	584
203	149	583
204	150	582
205	150	581
206	151	580
207	152	580
208	152	578
209	153	578
210	154	577
211	155	576
212	156	576
213	156	575
214	157	574
215	158	574
216	159	573
217	159	573
218	160	571
219	161	571
220	161	570
221	162	569
222	163	568
223	163	567
224	164	566
225	165	566
226	165	564
227	166	564
228	167	563
229	167	562
230	168	561
231	169	560
232	170	559
233	170	558
234	171	558
235	172	557
236	172	556
237	173	556
238	174	555
239	174	554
240	175	553
241	176	552
242	177	551
243	177	550
244	178	549
245	179	548
246	179	547
247	180	547
248	181	546
249	181	545
250	182	544
251	183	543
252	183	542
253	184	541
254	185	540
255	185	540
256	186	539
257	187	538
258	187	537
259	188	536
260	189	536
261	190	535
262	190	535
263	191	534
264	192	533
265	193	533
266	193	532
267	194	531
268	195	530
269	195	529
270	196	528
271	197	528
272	198	527
273	198	526
274	199	526
275	200	525
276	200	524
277	201	523
278	202	523
279	203	522
280	204	522
281	204	521
282	205	520
283	206	519
284	206	519
285	207	518
